Date,Ativo,Rastreador,Entry_Open,Exit_Close,PNL,Entry_Date,Costs_R$,Rel_Volume_Entry
2022-03-04,CASH_SWEEP,LONG,111.02,110.4,-5584.54,2022-03-03,0.0,0.0
2022-03-07,CASH_SWEEP,LONG,110.4,107.11,-29634.31,2022-03-04,0.0,0.0
2022-03-08,CASH_SWEEP,LONG,107.11,107.29,1621.33,2022-03-07,0.0,0.0
2022-03-09,CASH_SWEEP,LONG,107.29,109.78,22428.37,2022-03-08,0.0,0.0
2022-03-10,CASH_SWEEP,LONG,109.78,109.4,-3422.78,2022-03-09,0.0,0.0
2022-03-11,CASH_SWEEP,LONG,109.4,107.7,-15312.6,2022-03-10,0.0,0.0
2022-03-14,CASH_SWEEP,LONG,107.7,106.04,-14952.23,2022-03-11,0.0,0.0
2022-03-15,CASH_SWEEP,LONG,106.04,104.9,-10268.41,2022-03-14,0.0,0.0
2022-03-16,CASH_SWEEP,LONG,104.9,107.14,20176.53,2022-03-15,0.0,0.0
2022-03-17,CASH_SWEEP,LONG,107.14,108.7,14051.5,2022-03-16,0.0,0.0
2022-03-18,CASH_SWEEP,LONG,108.7,110.73,18285.05,2022-03-17,0.0,0.0
2022-03-21,CASH_SWEEP,LONG,110.73,111.94,10898.93,2022-03-18,0.0,0.0
2022-03-22,CASH_SWEEP,LONG,111.94,113.1,10448.53,2022-03-21,0.0,0.0
2022-03-23,CASH_SWEEP,LONG,113.1,112.9,-1801.45,2022-03-22,0.0,0.0
2022-03-24,CASH_SWEEP,LONG,112.9,114.74,16573.56,2022-03-23,0.0,0.0
2022-03-25,CASH_SWEEP,LONG,114.74,114.75,90.09,2022-03-24,0.0,0.0
2022-03-28,CASH_SWEEP,LONG,114.75,114.51,-2161.75,2022-03-25,0.0,0.0
2022-03-29,CASH_SWEEP,LONG,114.51,115.75,11169.14,2022-03-28,0.0,0.0
2022-03-30,CASH_SWEEP,LONG,115.75,115.9,1351.12,2022-03-29,0.0,0.0
2022-03-31,CASH_SWEEP,LONG,115.9,115.6,-2702.24,2022-03-30,0.0,0.0
2022-04-01,CASH_SWEEP,LONG,115.6,117.2,14411.8,2022-03-31,0.0,0.0
2022-04-04,CASH_SWEEP,LONG,117.2,116.8,-3602.9,2022-04-01,0.0,0.0
2022-04-05,CASH_SWEEP,LONG,116.8,114.51,-20626.92,2022-04-04,0.0,0.0
2022-04-06,CASH_SWEEP,LONG,114.51,113.87,-5764.72,2022-04-05,0.0,0.0
2022-04-07,CASH_SWEEP,LONG,113.87,114.65,7025.75,2022-04-06,0.0,0.0
2022-04-08,CASH_SWEEP,LONG,114.65,113.98,-6034.93,2022-04-07,0.0,0.0
2022-04-11,CASH_SWEEP,LONG,113.98,112.57,-12700.45,2022-04-08,0.0,0.0
2022-04-12,CASH_SWEEP,LONG,112.57,111.77,-7205.94,2022-04-11,0.0,0.0
2022-04-13,CASH_SWEEP,LONG,111.77,112.52,6755.54,2022-04-12,0.0,0.0
2022-04-14,CASH_SWEEP,LONG,112.52,111.65,-7836.38,2022-04-13,0.0,0.0
2022-04-18,CASH_SWEEP,LONG,111.65,111.46,-1711.43,2022-04-14,0.0,0.0
2022-04-19,CASH_SWEEP,LONG,111.46,110.92,-4864.0,2022-04-18,0.0,0.0
