Ativo	Entry_Date	Date	tranches_deployed	vwap_entry	exit_price	PNL	return_pct	exit_reason
CASH_SWEEP_BOVA11	2022-03-02	2022-03-03	0	111.10	111.02	-720.09	-0.07	Daily Cash MtM
CASH_SWEEP_BOVA11	2022-03-03	2022-03-04	0	111.02	110.40	-5,580.51	-0.56	Daily Cash MtM
CASH_SWEEP_BOVA11	2022-03-04	2022-03-07	0	110.40	107.11	-29,612.97	-2.98	Daily Cash MtM
CASH_SWEEP_BOVA11	2022-03-07	2022-03-08	0	107.11	107.29	1,620.16	0.17	Daily Cash MtM
CASH_SWEEP_BOVA11	2022-03-08	2022-03-09	0	107.29	109.78	22,412.22	2.32	Daily Cash MtM
CASH_SWEEP_BOVA11	2022-03-09	2022-03-10	0	109.78	109.40	-3,420.32	-0.35	Daily Cash MtM
CASH_SWEEP_BOVA11	2022-03-10	2022-03-11	0	109.40	107.70	-15,301.57	-1.55	Daily Cash MtM
CASH_SWEEP_BOVA11	2022-03-11	2022-03-14	0	107.70	106.04	-14,941.46	-1.54	Daily Cash MtM
CASH_SWEEP_BOVA11	2022-03-14	2022-03-15	0	106.04	104.90	-10,261.02	-1.08	Daily Cash MtM
CASH_SWEEP_BOVA11	2022-03-15	2022-03-16	0	104.90	107.14	20,162	2.14	Daily Cash MtM
CASH_SWEEP_BOVA11	2022-03-16	2022-03-17	0	107.14	108.70	14,041.38	1.46	Daily Cash MtM
CASH_SWEEP_BOVA11	2022-03-17	2022-03-18	0	108.70	110.73	18,271.89	1.87	Daily Cash MtM
CASH_SWEEP_BOVA11	2022-03-18	2022-03-21	0	110.73	111.94	10,891.08	1.09	Daily Cash MtM
CASH_SWEEP_BOVA11	2022-03-21	2022-03-22	0	111.94	113.10	10,441.01	1.04	Daily Cash MtM
CASH_SWEEP_BOVA11	2022-03-22	2022-03-23	0	113.10	112.90	-1,800.15	-0.18	Daily Cash MtM
CASH_SWEEP_BOVA11	2022-03-23	2022-03-24	0	112.90	114.74	16,561.62	1.63	Daily Cash MtM
CASH_SWEEP_BOVA11	2022-03-24	2022-03-25	0	114.74	114.75	90.03	0.01	Daily Cash MtM
CASH_SWEEP_BOVA11	2022-03-25	2022-03-28	0	114.75	114.51	-2,160.20	-0.21	Daily Cash MtM
CASH_SWEEP_BOVA11	2022-03-28	2022-03-29	0	114.51	115.75	11,161.10	1.08	Daily Cash MtM
CASH_SWEEP_BOVA11	2022-03-29	2022-03-30	0	115.75	115.90	1,350.15	0.13	Daily Cash MtM
CASH_SWEEP_BOVA11	2022-03-30	2022-03-31	0	115.90	115.60	-2,700.30	-0.26	Daily Cash MtM
CASH_SWEEP_BOVA11	2022-03-31	2022-04-01	0	115.60	117.20	14,401.43	1.38	Daily Cash MtM
CASH_SWEEP_BOVA11	2022-04-01	2022-04-04	0	117.20	116.80	-3,600.31	-0.34	Daily Cash MtM
CASH_SWEEP_BOVA11	2022-04-04	2022-04-05	0	116.80	114.51	-20,612.07	-1.96	Daily Cash MtM
CASH_SWEEP_BOVA11	2022-04-05	2022-04-06	0	114.51	113.87	-5,760.57	-0.56	Daily Cash MtM
CASH_SWEEP_BOVA11	2022-04-06	2022-04-07	0	113.87	114.65	7,020.69	0.69	Daily Cash MtM
CASH_SWEEP_BOVA11	2022-04-07	2022-04-08	0	114.65	113.98	-6,030.59	-0.58	Daily Cash MtM
CASH_SWEEP_BOVA11	2022-04-08	2022-04-11	0	113.98	112.57	-12,691.30	-1.24	Daily Cash MtM
CASH_SWEEP_BOVA11	2022-04-11	2022-04-12	0	112.57	111.77	-7,200.75	-0.71	Daily Cash MtM
CASH_SWEEP_BOVA11	2022-04-12	2022-04-13	0	111.77	112.52	6,750.68	0.67	Daily Cash MtM
CASH_SWEEP_BOVA11	2022-04-13	2022-04-14	0	112.52	111.65	-7,830.74	-0.77	Daily Cash MtM
CASH_SWEEP_BOVA11	2022-04-14	2022-04-18	0	111.65	111.46	-1,710.19	-0.17	Daily Cash MtM
CASH_SWEEP_BOVA11	2022-04-18	2022-04-19	0	111.46	110.92	-4,860.49	-0.48	Daily Cash MtM
CASH_SWEEP_BOVA11	2022-04-19	2022-04-20	0	110.92	110.05	-7,830.74	-0.78	Daily Cash MtM
CASH_SWEEP_BOVA11	2022-04-20	2022-04-22	0	110.05	106.75	-29,703	-3.00	Daily Cash MtM
CASH_SWEEP_BOVA11	2022-04-22	2022-04-25	0	106.75	106.76	90.03	0.01	Daily Cash MtM
CASH_SWEEP_BOVA11	2022-04-25	2022-04-26	0	106.76	104.28	-22,322.26	-2.32	Daily Cash MtM
CASH_SWEEP_BOVA11	2022-04-26	2022-04-27	0	104.28	105.52	11,161.10	1.19	Daily Cash MtM
CASH_SWEEP_BOVA11	2022-04-27	2022-04-28	0	105.52	105.86	3,060.34	0.32	Daily Cash MtM
CASH_SWEEP_BOVA11	2022-04-28	2022-04-29	0	105.86	103.40	-22,142.21	-2.32	Daily Cash MtM
CASH_SWEEP_BOVA11	2022-04-29	2022-05-02	0	103.40	102.72	-6,120.61	-0.66	Daily Cash MtM
CASH_SWEEP_BOVA11	2022-05-02	2022-05-03	0	102.72	102.72	0	0	Daily Cash MtM
CASH_SWEEP_BOVA11	2022-05-03	2022-05-04	0	102.72	104.38	14,941.46	1.62	Daily Cash MtM
CASH_SWEEP_BOVA11	2022-05-04	2022-05-05	0	104.38	101.50	-25,922.57	-2.76	Daily Cash MtM
CASH_SWEEP_BOVA11	2022-05-05	2022-05-06	0	101.50	101.23	-2,430.21	-0.27	Daily Cash MtM
CASH_SWEEP_BOVA11	2022-05-06	2022-05-09	0	101.23	99.68	-13,951.42	-1.53	Daily Cash MtM
CASH_SWEEP_BOVA11	2022-05-09	2022-05-10	0	99.68	99.24	-3,960.42	-0.44	Daily Cash MtM
CASH_SWEEP_BOVA11	2022-05-10	2022-05-11	0	99.24	100.64	12,601.27	1.41	Daily Cash MtM
CASH_SWEEP_BOVA11	2022-05-11	2022-05-12	0	100.64	102.04	12,601.27	1.39	Daily Cash MtM
CASH_SWEEP_BOVA11	2022-05-12	2022-05-13	0	102.04	103.29	11,251.13	1.23	Daily Cash MtM
CASH_SWEEP_BOVA11	2022-05-13	2022-05-16	0	103.29	104.40	9,991	1.07	Daily Cash MtM
