Date,Ativo,Rastreador,Entry_Open,Exit_Close,Z_Score,Gap_Pct,Vol_20d_Pct,PNL
2022-01-03,TIMS3,LONG,8.89,8.69,-1.66,-1.77,1.06,-2249.72
2022-01-03,EQTL3,LONG,19.8,19.6,-1.21,-1.39,1.15,-1010.1
2022-01-03,NEOE3,LONG,12.77,12.64,-0.67,-1.16,1.72,-1018.01
2022-01-03,ENGI11,LONG,31.58,30.6,-0.51,-0.57,1.1,-3103.23
2022-01-03,WEGE3,LONG,29.4,28.77,-0.43,-0.78,1.83,-2142.86
2022-01-03,ITSA4,SHORT,5.0,5.0,0.86,1.01,1.17,0.0
2022-01-03,SAPR11,SHORT,14.59,14.05,0.99,1.74,1.76,3701.17
2022-01-03,SLCE3,SHORT,13.25,13.15,1.16,2.32,2.0,754.72
2022-01-03,RADL3,SHORT,21.95,20.67,1.34,1.62,1.21,5831.44
2022-01-03,PSSA3,SHORT,17.14,16.07,1.64,2.39,1.46,6242.71
2022-01-04,IGTI11,LONG,15.3,14.98,-0.57,-1.61,2.8,-2091.5
2022-01-04,VIVT3,LONG,18.84,18.94,-0.52,-0.53,1.01,530.79
2022-01-04,KLBN11,LONG,17.23,17.63,-0.4,-0.46,1.14,2321.53
2022-01-04,TAEE11,LONG,24.85,25.03,-0.36,-0.24,0.67,724.35
2022-01-04,EQTL3,LONG,19.54,19.42,-0.28,-0.31,1.1,-614.12
2022-01-04,UGPA3,SHORT,11.95,11.35,0.63,1.36,2.17,5020.92
2022-01-04,BBAS3,SHORT,10.4,10.3,0.76,1.07,1.41,961.54
2022-01-04,TIMS3,SHORT,8.8,8.82,0.93,1.27,1.37,-227.27
2022-01-04,RAPT4,SHORT,9.28,8.93,1.31,2.65,2.03,3771.55
2022-01-04,IRBR3,SHORT,100.81,94.59,1.54,3.58,2.33,6170.02
2022-01-05,RAIL3,LONG,16.24,15.77,-0.94,-1.58,1.67,-2894.09
2022-01-05,AXIA6,LONG,19.15,19.31,-0.67,-1.34,1.99,835.51
2022-01-05,BRKM5,LONG,53.2,51.69,-0.63,-2.01,3.2,-2838.35
2022-01-05,FLRY3,LONG,11.75,11.6,-0.63,-1.51,2.41,-1276.6
2022-01-05,VIVT3,LONG,18.83,18.92,-0.6,-0.58,0.96,477.96
2022-01-05,VALE3,SHORT,52.6,52.9,0.18,0.36,1.96,-570.34
2022-01-05,KLBN11,SHORT,17.67,17.3,0.2,0.23,1.16,2093.94
2022-01-05,CSNA3,SHORT,16.32,15.88,0.23,0.62,2.71,2696.08
2022-01-05,CURY3,SHORT,4.51,4.13,0.3,0.89,2.95,8425.72
2022-01-05,GOAU4,SHORT,6.24,6.08,0.33,0.65,1.93,2564.1
2022-01-06,IGTI11,LONG,13.97,13.67,-0.6,-1.55,2.59,-2147.46
2022-01-06,B3SA3,LONG,9.12,9.45,-0.47,-1.08,2.32,3618.42
2022-01-06,VIVT3,LONG,18.84,18.61,-0.46,-0.42,0.91,-1220.81
2022-01-06,TIMS3,LONG,8.69,8.68,-0.41,-0.57,1.4,-115.07
2022-01-06,BBDC3,LONG,10.86,11.03,-0.35,-0.46,1.31,1565.38
2022-01-06,VALE3,SHORT,53.47,53.97,0.69,1.08,1.57,-935.1
2022-01-06,ISAE4,SHORT,18.38,18.19,0.78,0.55,0.71,1033.73
2022-01-06,PRIO3,SHORT,18.98,18.93,0.79,2.82,3.55,263.44
2022-01-06,HYPE3,SHORT,22.97,22.91,0.96,1.32,1.38,261.21
2022-01-06,RAIL3,SHORT,16.13,15.29,1.24,2.28,1.84,5207.69
2022-01-07,SMFT3,LONG,13.22,13.74,-0.9,-2.87,3.17,3933.43
2022-01-07,EQTL3,LONG,18.85,18.96,-0.8,-0.84,1.05,583.55
2022-01-07,SBSP3,LONG,30.74,30.37,-0.56,-0.87,1.55,-1203.64
2022-01-07,ENGI11,LONG,29.67,29.92,-0.53,-0.67,1.26,842.6
2022-01-07,HYPE3,LONG,22.75,23.08,-0.51,-0.7,1.37,1450.55
2022-01-07,RDOR3,SHORT,34.83,35.14,0.32,0.9,2.81,-890.04
2022-01-07,PETR3,SHORT,11.15,11.17,0.39,0.63,1.61,-179.37
2022-01-07,CSNA3,SHORT,15.84,16.34,0.41,1.08,2.62,-3156.57
2022-01-07,SANB11,SHORT,23.7,23.63,0.46,0.64,1.37,295.36
2022-01-07,VALE3,SHORT,54.66,57.11,0.79,1.28,1.62,-4482.25
2022-01-10,GGBR4,LONG,16.12,16.6,-1.26,-2.36,1.88,2977.67
2022-01-10,VIVT3,LONG,18.31,18.54,-1.01,-0.92,0.91,1256.14
2022-01-10,USIM5,LONG,12.53,13.45,-0.92,-2.41,2.63,7342.38
2022-01-10,VALE3,LONG,56.08,56.43,-0.89,-1.8,2.03,624.11
2022-01-10,IGTI11,LONG,13.48,13.61,-0.87,-2.25,2.58,964.39
