Ativo,Estrategia,Original_Signal,Executed_Dir,Entry_Date,Date,Entry_Price,Exit_Price,Hold_Days,Exit_Reason,Metric,PNL,Return_%
CASH_SWEEP_BOVA11,Cash_Overlay,Hold,Buy,2023-11-08,2023-11-09,115.52,115.18,1,Daily Cash MtM,Beta,-2943.18,-0.2943
CASH_SWEEP_BOVA11,Cash_Overlay,Hold,Buy,2023-11-09,2023-11-10,115.18,117.01,1,Daily Cash MtM,Beta,15841.43,1.5888
CEAB3,OU_MR,Sell,Buy,2023-11-10,2023-11-10,5.96,6.7,1,Take Profit,HL:4.7,6208.05,12.42
CASH_SWEEP_BOVA11,Cash_Overlay,Hold,Buy,2023-11-10,2023-11-13,117.01,116.82,1,Daily Cash MtM,Beta,-112.22,-0.1624
AMAR3,OU_MR,Sell,Buy,2023-11-10,2023-11-13,3.02,3.4,2,Take Profit,HL:7.9,6291.39,12.58
PRIO3,OU_MR,Buy,Sell,2023-11-10,2023-11-14,44.94,46.93,3,Time Exit,HL:3.4,-2214.06,-4.43
MGLU3,VWAP_Divergence,Sell,Buy,2023-11-10,2023-11-14,14.97,13.47,3,Stop Loss,Div:11.8%,-5010.02,-10.02
ITUB4,OU_MR,Sell,Buy,2023-11-10,2023-11-14,20.94,21.21,3,Time Exit,HL:4.0,644.7,1.29
ITSA4,OU_MR,Sell,Buy,2023-11-10,2023-11-14,6.46,6.69,3,Time Exit,HL:3.8,1780.19,3.56
BPAC11,OU_MR,Sell,Buy,2023-11-10,2023-11-14,30.61,31.89,3,Time Exit,HL:3.7,2090.82,4.18
ARML3,OU_MR,Sell,Buy,2023-11-10,2023-11-14,12.15,12.99,3,Time Exit,HL:3.4,3456.79,6.91
CASH_SWEEP_BOVA11,Cash_Overlay,Hold,Buy,2023-11-13,2023-11-14,116.82,119.61,1,Daily Cash MtM,Beta,1798.04,2.3883
DXCO3,Vol_Climax,Buy,Sell,2023-11-10,2023-11-14,5.54,6.1,3,Stop Loss,Vz:4.0,-5054.15,-10.11
CASH_SWEEP_BOVA11,Cash_Overlay,Hold,Buy,2023-11-14,2023-11-16,119.61,120.96,1,Daily Cash MtM,Beta,4207.42,1.1287
BBDC4,OU_MR,Sell,Buy,2023-11-10,2023-11-16,11.74,12.27,4,Time Exit,HL:4.6,2257.24,4.51
ODPV3,OU_MR,Sell,Buy,2023-11-10,2023-11-16,9.74,9.64,4,Time Exit,HL:4.7,-513.35,-1.03
PSSA3,OU_MR,Sell,Buy,2023-11-10,2023-11-16,23.22,24.25,4,Time Exit,HL:4.1,2217.92,4.44
AMAR3,OU_MR,Sell,Buy,2023-11-16,2023-11-17,3.07,3.45,2,Take Profit,HL:7.9,6188.93,12.38
CEAB3,VWAP_Divergence,Sell,Buy,2023-11-16,2023-11-17,6.78,7.62,2,Take Profit,Div:27.0%,6194.69,12.39
ALOS3,OU_MR,Sell,Buy,2023-11-14,2023-11-17,20.82,21.41,3,Time Exit,HL:3.4,1416.91,2.83
BBDC3,OU_MR,Sell,Buy,2023-11-10,2023-11-17,10.36,10.75,5,Time Exit,HL:5.2,1882.24,3.76
MBRF3,OU_MR,Sell,Buy,2023-11-10,2023-11-17,6.44,7.24,5,Take Profit,HL:5.4,6211.18,12.42
RECV3,OU_MR,Buy,Sell,2023-11-10,2023-11-17,13.89,14.09,5,Time Exit,HL:5.9,-719.94,-1.44
CASH_SWEEP_BOVA11,Cash_Overlay,Hold,Buy,2023-11-16,2023-11-17,120.96,121.1,1,Daily Cash MtM,Beta,209.43,0.1157
CASH_SWEEP_BOVA11,Cash_Overlay,Hold,Buy,2023-11-17,2023-11-20,121.1,122.25,1,Daily Cash MtM,Beta,3345.83,0.9496
ALPA4,VWAP_Divergence,Sell,Buy,2023-11-13,2023-11-20,7.76,8.11,5,Time Exit,Div:10.6%,2255.15,4.51
CURY3,OU_MR,Sell,Buy,2023-11-16,2023-11-20,13.12,12.82,3,Time Exit,HL:3.9,-1143.29,-2.29
AURE3,OU_MR,Sell,Buy,2023-11-17,2023-11-20,12.49,12.08,2,Time Exit,HL:2.7,-1641.31,-3.28
CSMG3,OU_MR,Sell,Buy,2023-11-10,2023-11-21,14.2,14.27,7,Time Exit,HL:7.4,246.48,0.49
CASH_SWEEP_BOVA11,Cash_Overlay,Hold,Buy,2023-11-20,2023-11-21,122.25,121.76,1,Daily Cash MtM,Beta,-822.26,-0.4008
CASH_SWEEP_BOVA11,Cash_Overlay,Hold,Buy,2023-11-21,2023-11-22,121.76,122.15,1,Daily Cash MtM,Beta,334.94,0.3203
CXSE3,OU_MR,Sell,Buy,2023-11-10,2023-11-22,9.39,9.33,8,Time Exit,HL:8.1,-319.49,-0.64
ANIM3,OU_MR,Sell,Buy,2023-11-16,2023-11-22,2.98,3.35,5,Take Profit,HL:8.6,6208.05,12.42
